"year_distrito","mean(price_m2)"
"1","012018",4520.41434731183
"2","022018",3772.43583986857
"3","032018",4269.8187202381
"4","042018",5306.72241254125
"5","052018",4944.70537284866
"6","062018",3189.71865853242
"7","072018",5435.5452325784
"8","082018",3415.39659080675
"9","092018",4003.28444808013
"10","102018",2178.32295139186
"11","112018",1932.4037964657
"12","122018",2024.30479192913
"13","132018",1620.97589728015
"14","142018",2313.17473660131
"15","152018",2840.64252924962
"16","162018",3961.13175484311
"17","172018",1469.11114470284
"18","182018",2287.78029939551
"19","192018",2119.28799792453
"20","202018",2593.38729850467
"21","212018",3195.2292386076
"year_distrito","mean(price_m2)"
"1","012018",4520.41434731183
"2","022018",3772.43583986857
"3","032018",4269.8187202381
"4","042018",5306.72241254125
"5","052018",4944.70537284866
"6","062018",3189.71865853242
"7","072018",5435.5452325784
"8","082018",3415.39659080675
"9","092018",4003.28444808013
"10","102018",2178.32295139186
"11","112018",1932.4037964657
"12","122018",2024.30479192913
"13","132018",1620.97589728015
"14","142018",2313.17473660131
"15","152018",2840.64252924962
"16","162018",3961.13175484311
"17","172018",1469.11114470284
"18","182018",2287.78029939551
"19","192018",2119.28799792453
"20","202018",2593.38729850467
"21","212018",3195.2292386076
